,text,favourite_count,retweet_count,created_at
0,"RT @dna: 'Achieved balance between mental, physical wellbeing': #RubinaDilaik on 'Yoga' helping her fight #COVID19 

@RubiDilaik 

https://…",0,177,2021-05-25 23:59:59
1,"Thanks for another successful day, Regina! We've currently reached our capacity at the Regina COVID-19 Immunization Drive-Thru for today (May 25) and are closed. 

The Regina drive-thru site will reopen tomorrow (May 26) at noon. #yqr #StickItToCOVID https://t.co/LhVAkxSwb7 https://t.co/XK4yepor7p",23,3,2021-05-25 23:59:58
2,RT @CP24: 'An incredible milestone:' 65 per cent of Toronto adults have now received at least one dose of COVID-19 vaccine https://t.co/fSh…,0,155,2021-05-25 23:59:57
3,RT @RamAbdu: Gaza’s main medical center and Covid-19 lab after being targeted last week by Israeli warplanes! https://t.co/HdB56hu58M,0,1127,2021-05-25 23:59:57
4,"RT @XingPark: The official comeback teaser with Yixing will be released on May 26th evening at 7pm cst.

However, due to the Covid-19 pande…",0,8242,2021-05-25 23:59:56
5,Call for strict MIQ facilities in NZ after Melbourne outbreak https://t.co/WnoRAFHMX0,1,0,2021-05-25 23:59:55
6,RT @inquirerdotnet: The local government on Tuesday imposed stricter quarantine restrictions in General Santos City until June 30 after COV…,0,1,2021-05-25 23:59:54
7,RT @BradMBradford: Several #COVIDVaccine pop-up clinics are coming to the #EastEnd this week! Check the @MGHToronto website here for more i…,0,6,2021-05-25 23:59:53
8,"RT @CNN: Georgia Gov. Brian Kemp signed an executive order Tuesday prohibiting state agencies, state service providers and state properties…",0,61,2021-05-25 23:59:53
9,RT @AnthSald: @EmpoweringGoa @rkhuria @R1Ruhi @asmatasleem11 @gops33 @sarahmarb @Naveen_Kr_Shahi @AlAkBseth @FltLtAnoopVerma @INC4LifeNRI @…,0,4,2021-05-25 23:59:53
10,"RT @_jennamoon: I’m at 58 Cecil Street, where a pop up clinic offering COVID-19 vaccines to the M5T postal code is underway. 

People in li…",0,289,2021-05-25 23:59:52
11,"RT @lapublichealth: (3/6)Mega events are any crowds of +5,000 people if indoors, or +10,000 people if outdoors. These events are considered…",0,7,2021-05-25 23:59:52
12,"Facebook has instituted tiers to describe the tone of certain posts related to COVID-19 vaccines, with some being categorized as “sensational/alarmist” or “criticizing choice.” The responses range from outright removal to comment demotions.
https://t.co/fWbQ5yseYR",0,0,2021-05-25 23:59:51
13,"RT @qwertee: 5 People Who RT This Will Win a FREE TEE!!!
Our World Famous InsaniTEE Sale FINAL 24 HOURS! £4/€5/$6 Random Tees and if you bu…",0,246,2021-05-25 23:59:51
14,"RT @DrLiMengYAN1: By @GordonGChang
-We should be implementing policies designed to end the rule of the Communist Party
-This is not the las…",0,1122,2021-05-25 23:59:51
15,"Rep. Barros: “With a very large influx of federal dollars coming to our municipalities soon, it is imperative that the public knows how this money is being spent and how it will help their community recover from the COVID-19 pandemic."" More info: https://t.co/SH9AeuycB5",0,0,2021-05-25 23:59:50
16,"RT @Reflexospuros: 🚨VACCINATE CHILDREN🚨‼️ POLL

🌟The People's POLL 🌟Have your say🗣️📢

COVID-19 Vaccines are being rolled out to children in…",0,274,2021-05-25 23:59:50
17,@modooborahae Post COVID-19 is a different world. Hoping things getting better.,17,1,2021-05-25 23:59:50
18,"RT @talanajordan_: the most exciting vlog i have filmed :)

https://t.co/urIdMcbTY7

#COVID19 #CovidVaccine #COVIDisAirborne #CovidVaccine…",0,1,2021-05-25 23:59:49
19,RT @LouisianaGov: People who haven't taken their COVID-19 vaccine remain at risk as more contagious variants continue to spread &amp; as we ent…,0,8,2021-05-25 23:59:49
20,RT @KWWL: One of the metrics that has to be met is 70% of the campus community voluntarily providing proof of vaccination for COVID-19. Cli…,0,4,2021-05-25 23:59:49
21,"RT @BreitbartNews: Tucker Carlson reacted Monday to revelations that suggest the COVID-19 virus may have originated from a lab in Wuhan, a…",0,493,2021-05-25 23:59:47
22,RT @TheBuffaloNews: Music festival in MLK Park to include Covid-19 vaccinations https://t.co/G22Eu5dZ5G,0,1,2021-05-25 23:59:47
23,RT @ThaiNewsReports: Bangkok Post Infographic: The Bangkok Metropolitan Administration (BMA) plans to launch two new channels for Bangkokia…,0,9,2021-05-25 23:59:47
24,RT @politicshome: 🖋 Sources have told PoliticsHome that the PM spent 12 days at the Chevening estate in February 2020 to work on “The Riddl…,0,272,2021-05-25 23:59:46
25,"RT @MSNBC: China is using Covid-19 vaccines to push its political and trade agenda across Latin America and the Caribbean, and the U.S. ris…",0,31,2021-05-25 23:59:45
26,"RT @TTrumpSJapan: Alabama becomes latest US state to ban vaccine passports, as debate rages over mandating proof of Covid-19 status
https:/…",0,23,2021-05-25 23:59:45
27,"Important information about the kind of mask you should wear to stop the spread of COVID-19 as aired daily during @FijiOneNews. Message is brought to you by @usaidpacificisl @USAIDSavesLives in partnership with ADRA Fiji &amp; @CAREAustralia.

@USAmbSuva https://t.co/2Qu8mDqf6H",4,2,2021-05-25 23:59:45
28,RT @IPDefenseForum: A breath test designed to detect COVID-19 and give accurate results within a minute has been approved for use in Singap…,0,1,2021-05-25 23:59:45
29,RT @imnormgoh: The foreign correspondent from Phoenix TV China asked a good question about the concerns that there are many Covid-19 patien…,0,3351,2021-05-25 23:59:45
30,"RT @VicGovDH: Reported yesterday: 10 new local cases and no new cases acquired overseas. 
- 15,858 vaccine doses were administered 
- 26,18…",0,504,2021-05-25 23:59:44
31,@GeorgeTakei Whatever the death toll from covid-19 ends up being!,0,0,2021-05-25 23:59:43
32,RT @Jkylebass: China used Covid-19 as a biological weapon. Xi quarantined Wuhan while encouraging countries around the world to continue to…,0,735,2021-05-25 23:59:42
33,"RT @armyspoke_news: https://t.co/VnoldYlmqi

🇹🇭 The RTA cooperates with all sectors in the vaccination campaign, tightening highest level o…",0,1215,2021-05-25 23:59:42
34,RT @CNN: Pediatricians worry parents will misinterpret a finding by advisers to the CDC and become scared — for no reason — to vaccinate th…,0,59,2021-05-25 23:59:41
35,"RT @VIAwesome: BREAKING: B.C. recorded 289 new cases of COVID-19 since yesterday and one death. Between Friday May 21 and Monday May 24, th…",0,4,2021-05-25 23:59:41
36,"RT @benitakolovos: There are 23 active cases of COVID-19:
* 6 new cases overnight, brings total number of cases in the Whittlesea cluster t…",0,15,2021-05-25 23:59:40
37,Just received my COVID-19 result by text &amp; it’s NEGATIVE. Great news but l struggled to sleep last night even though l didn’t attend those stores in Highpoint but l was close. If your over 50 stop making excuses and get it. Thanks for the best wishes. Go Bombers 🔴⚫️ #COVID19Vic,4,0,2021-05-25 23:59:40
38,RT @kron4news: COVID MILESTONE: The United States hit a major vaccination milestone Tuesday: Half of all adults are now fully vaccinated ag…,0,9,2021-05-25 23:59:39
39,RT @YahooPH: US health experts are looking into a few cases of a heart condition known as myocarditis among children who received the COVID…,0,2,2021-05-25 23:59:39
40,"RT @DrLiMengYAN1: By @GordonGChang
-We should be implementing policies designed to end the rule of the Communist Party
-This is not the las…",0,1122,2021-05-25 23:59:39
41,"RT @MassGovernor: The legislation will extend certain emergency provisions including:

🏛️ Remote meeting flexibility for communities
🍴 Spec…",0,13,2021-05-25 23:59:39
42,"RT @NikkiHaley: China and WHO cannot be trusted. The United States must call for a credible investigation into the origins of COVID-19.

We…",0,603,2021-05-25 23:59:38
43,"RT @ProfAbdille: COVID-19 &amp;why I termed it as the  “the Great Equalizer” of our times

I was a lecturer at Beijing during the 2009 H1N1 inf…",0,10,2021-05-25 23:59:38
44,RT @AM980News: Organizers are putting together the necessary ingredients for an in-person Ribfest following updated COVID-19 guidance from…,0,1,2021-05-25 23:59:38
45,"RT @AnaCabrera: It’s official - half of the adult population in the US is fully vaccinated against Covid-19, according to CDC data.",0,1056,2021-05-25 23:59:38
46,"RT @yolyabreuh: Vaccines and Related Biological Products Advisory Committee Meeting
December 10, 2020 --  FDA Briefing Document -- Pfizer-B…",0,27,2021-05-25 23:59:38
47,RT @EricMMatheny: COVID-19 does not occur in nature. It does occur in Chinese laboratories funded by grants from the National Institute of…,0,1315,2021-05-25 23:59:37
48,"RT @DeAngelisCorey: New Study: No correlation between school mask mandates and COVID-19 case rates for students and staff in Florida, New Y…",0,989,2021-05-25 23:59:37
49,RT @inforum: Fargo's best kept secret: Local firm makes key ingredient for millions of COVID-19 vaccine doses https://t.co/EE6arDz6jG,0,2,2021-05-25 23:59:37
